combined_rank,gene_name,rank_s1,stream1_score,rank_s2,stream2_score,combined_score,evidence
71,Fam221b,201.0,,37.0,0.6343016057264438,0.01600107570256824,kalish_only
72,Ppp1r3g,37.0,0.0405401568193309,201.0,,0.01600107570256824,canales_only
73,Igkv6-25,201.0,,38.0,0.633619489945373,0.01564545692589683,kalish_only
74,Kif15,38.0,0.0389982785466633,201.0,,0.01564545692589683,canales_only
75,Islr,201.0,,39.0,0.6288133647893425,0.015308075009567546,kalish_only
76,Asf1b,39.0,0.0389203985451921,201.0,,0.015308075009567546,canales_only
77,Sostdc1,201.0,,40.0,0.6274727804764143,0.014987562189054726,kalish_only
78,Ttk,40.0,0.0384942509452036,201.0,,0.014987562189054726,canales_only
79,Fmod,149.0,0.0262831862697724,43.0,0.6220075925392217,0.014983611674730763,both_streams
80,Dbx1,41.0,0.038379780346809,201.0,,0.014682684140274238,canales_only
81,Lrrc23,201.0,,41.0,0.626213178272505,0.014682684140274238,kalish_only
82,Lgals1,201.0,,42.0,0.6233099897943163,0.01439232409381663,kalish_only
83,Ndc80,42.0,0.0377056183601394,201.0,,0.01439232409381663,canales_only
84,Kcnj2,43.0,0.0371732270635232,201.0,,0.014115469165798911,canales_only
85,Brca1,44.0,0.0369623430279184,201.0,,0.01385119855269109,canales_only
86,Cmbl,201.0,,44.0,0.6139436756476057,0.01385119855269109,kalish_only
87,Plk1,45.0,0.0365105151122336,201.0,,0.013598673300165839,canales_only
88,Clic6,201.0,,45.0,0.610379473488398,0.013598673300165839,kalish_only
89,Tbx18,201.0,,46.0,0.6070218427295377,0.01335712740644603,kalish_only
90,E330013P04Rik,46.0,0.0364770908391697,201.0,,0.01335712740644603,canales_only
91,Lyz2,201.0,,47.0,0.6005751733188726,0.013125860061395152,kalish_only
92,Esm1,47.0,0.0362027323610293,201.0,,0.013125860061395152,canales_only
93,Chek1,48.0,0.0360761124801429,201.0,,0.012904228855721393,canales_only
94,Osr1,201.0,,48.0,0.5992458330492957,0.012904228855721393,kalish_only
95,Dab2,201.0,,49.0,0.5905410196946846,0.012691643821707788,kalish_only
96,6330403A02Rik,49.0,0.0357194022368343,201.0,,0.012691643821707788,canales_only
97,Dhfr,50.0,0.0353562162610361,201.0,,0.012487562189054727,canales_only
98,Shcbp1,51.0,0.0352689893685156,201.0,,0.012291483757682176,canales_only
99,Syt13,201.0,,51.0,0.585151231970886,0.012291483757682176,kalish_only
100,Eme1,52.0,0.034724149638639,201.0,,0.012102946804439341,canales_only
